t-0	Raul has not visited Moline, Anthony has not visited Stuttgart, Douglas has visited Madison and if Raul has not visited Moline then Louis has not visited Mundelein	Louis has not visited Mundelein	ENTAILMENT
t-1	Jimmie has not visited Austin, Fernando has not visited Saint Charles, Darren has visited Arcadia and if Fernando has not visited Saint Charles then Ken has visited Winnetka	Ken has visited Winnetka	ENTAILMENT
t-2	Albert has not visited Huntington Beach, Jeffery has visited Chapel Hill, Don has visited Decatur and if Jeffery has visited Chapel Hill then Ruben has visited Wheeling	Ruben has not visited Wheeling	CONTRADICTION
t-3	Louis has not visited Monroe, Randall has visited Tooele, Nathaniel has visited North Little Rock and if Randall has visited Tooele then Charles has visited Canton	Charles has not visited Canton	CONTRADICTION
t-4	Paul has not visited New Milford, Johnnie has visited Truro, Justin has visited Martins Ferry and if Justin has visited Martins Ferry then Troy has visited Ada	Troy has visited Ada	ENTAILMENT
t-5	Terrence has not visited Newton, Neil has visited Fairfield, Lloyd has visited Saint Joseph and if Lloyd has visited Saint Joseph then Gregory has visited Lancaster	Gregory has not visited Lancaster	CONTRADICTION
t-6	Isaac has not visited Huntington, Jimmy has not visited The Village, Thomas has visited Jamestown and if Jimmy has visited The Village then Floyd has visited Chicopee	Floyd has visited Chicopee	NEUTRAL
t-7	Arthur has not visited New Glarus, Matthew has visited Norwich, Wallace has not visited Tacoma and if Wallace has not visited Tacoma then Brian has visited Augusta	Brian has not visited Augusta	CONTRADICTION
t-8	Bob has not visited New Windsor, Marc has visited Palatka, Phillip has not visited San Mateo and if Phillip has not visited San Mateo then Aaron has visited Saint Albans	Aaron has visited Saint Albans	ENTAILMENT
t-9	Jacob has not visited Pinehurst, Jordan has not visited Kennewick, Edgar has visited Oil City and if Jacob has not visited Pinehurst then Cody has visited Laie	Cody has not visited Laie	CONTRADICTION
t-10	Jordan has not visited Joliet, Jack has visited Greenbelt, Dale has visited Woodstock and if Jack has visited Greenbelt then Fernando has visited Delta	Fernando has visited Delta	ENTAILMENT
t-11	Todd has not visited Stillwater, Shane has not visited Atlantic City, Travis has visited Chula Vista and if Todd has not visited Stillwater then Eric has visited Carlsbad	Eric has visited Carlsbad	ENTAILMENT
t-12	Rick has not visited Gallatin, Alan has visited Hillsborough, Walter has visited Demopolis and if Alan has visited Hillsborough then Phillip has visited Urbana	Phillip has visited Urbana	ENTAILMENT
t-13	Alexander has not visited Shelbyville, Francisco has not visited Potsdam, Steven has visited Saint Ignace and if Francisco has visited Potsdam then Tyrone has visited Pampa	Tyrone has not visited Pampa	NEUTRAL
t-14	William has not visited Conneaut, Stephen has not visited North Carolina, Leo has visited Cadillac and if Stephen has visited North Carolina then Ramon has visited Newport Beach	Ramon has visited Newport Beach	NEUTRAL
t-15	Jerry has not visited Pass Christian, Jim has visited Nappanee, Virgil has not visited Saint Johnsbury and if Virgil has not visited Saint Johnsbury then Marion has not visited Gastonia	Marion has not visited Gastonia	ENTAILMENT
t-16	Shane has not visited Elkton, Eduardo has visited Tennessee, Christopher has visited Durango and if Eduardo has visited Tennessee then Jason has visited Natchez	Jason has visited Natchez	ENTAILMENT
t-17	Bob has not visited Bedford, Ivan has not visited Anderson, Victor has visited Morgan City and if Bob has visited Bedford then Gerald has visited Coos Bay	Gerald has not visited Coos Bay	NEUTRAL
t-18	Keith has not visited Gretna, Ronnie has visited Queens, Russell has visited Ajo and if Ronnie has visited Queens then Roland has visited Claremont	Roland has not visited Claremont	CONTRADICTION
t-19	Ron has not visited Pinehurst, Fred has visited Hartsville, Roger has visited Del Rio and if Fred has visited Hartsville then Milton has visited Elk City	Milton has not visited Elk City	CONTRADICTION
t-20	Johnny has not visited Totowa, Jeremy has visited Neosho, Edgar has not visited Palmdale and if Edgar has not visited Palmdale then Jesse has visited Lewistown	Jesse has not visited Lewistown	CONTRADICTION
t-21	Andrew has not visited Breckenridge, Craig has not visited East Chicago, Sidney has visited North Carolina and if Craig has not visited East Chicago then Gordon has visited Norwalk	Gordon has visited Norwalk	ENTAILMENT
t-22	Andre has not visited Oxnard, Curtis has visited Charleston, Brad has not visited Lahaina and if Brad has not visited Lahaina then Jason has not visited Olathe	Jason has not visited Olathe	ENTAILMENT
t-23	George has not visited Douglas, Alberto has visited Lowell, John has not visited Gloucester and if John has visited Gloucester then Edgar has visited Mitchell	Edgar has visited Mitchell	NEUTRAL
t-24	Jacob has not visited Paterson, Troy has visited McPherson, Jon has visited Pennsylvania and if Troy has visited McPherson then Luis has visited Newton	Luis has visited Newton	ENTAILMENT
